"","Dataport","AMPds","ECO","REFIT","rowind"
"1",2298.58585946577,2444.56697974505,2435.65317895343,2331.47530351865,1
"2",2301.22003153636,2380.88395933088,2357.37659337363,2318.14021039306,2
"3",2282.18629856566,2351.43406967077,2352.95358266215,2318.1677551988,3
"4",2269.45333201068,2353.48725502508,2348.24764331375,2295.17289759577,4
"5",2266.62037265457,2354.30502702367,2351.3473883913,2295.4449372793,5
"6",2270.33796140819,2357.97102070315,2356.04293911951,2293.4789926037,6
"7",2270.00655324971,2362.33204658029,2359.06254318438,2297.81034985546,7
"8",2274.90680137917,2367.30126663896,2362.82806139596,2302.59236737034,8
"9",2279.60847244792,2371.14447029013,2364.82958295428,2305.60474998503,9
"10",2284.47583531222,2337.88525008413,2369.75938958632,2304.60498695187,10
"11",2289.44184050346,2339.34970216775,2371.97657685343,2308.43159261294,11
"12",2287.81411771941,2341.50493078933,2376.88151200586,2312.8724362329,12
"13",2290.52219148379,2346.43407333032,2381.492770399,2314.50386990569,13
"14",2295.39628192447,2349.32204209762,2386.0424413194,2319.41818528214,14
"15",2299.87694684322,2354.22093988126,2388.80594358992,2320.96329046801,15
"16",2304.77652726205,2358.95985903922,2389.68062454743,2321.94305717602,16
"17",2308.28026606859,2362.79580075072,2385.09646558639,2319.31885783797,17
"18",2312.85477482034,2367.29797923726,2380.79430389724,2323.86196992892,18
"19",2310.35554802176,2370.80166855164,2382.51954079156,2327.63310431076,19
"20",2314.48160713991,2374.07645042291,2385.72118463043,2315.76330741304,20
"21",2312.48858190673,2376.59716818216,2388.91383957602,2319.82036871107,21
