"Index","anom_location"
2014-07-04 15:50:00,"air1"
2014-07-05 14:50:00,"air1"
2014-07-16 18:50:00,"air1"
2014-07-20 23:50:00,"air1"
2014-07-26 04:50:00,"air1"
2014-07-26 15:50:00,"air1"
2014-07-26 21:50:00,"air1"
2014-07-28 21:50:00,"air1"
2014-07-31 16:50:00,"air1"
2014-08-03 14:50:00,"air1"
2014-08-05 18:50:00,"air1"
2014-08-06 15:50:00,"air1"
2014-08-08 03:50:00,"air1"
2014-08-09 15:50:00,"air1"
2014-08-11 11:50:00,"air1"
2014-08-12 14:50:00,"air1"
2014-08-25 08:50:00,"air1"
2014-08-27 14:50:00,"furnace1"
